Sample_ID,Biosensor_Type,Pathogen_ID,Pathogen_Class,Microbial_Signature,Signal_Quality,Normalized_Data,Classification_Label
sample_0001,Electrochemical,pathogen_0001,Virus,"[0.686348465859171, 0.3519711095416459, 0.4792094640255968]",1,"[1.0, 0.5128169247104654, 0.6982014062284271]",Hepatitis
sample_0002,Electrochemical,pathogen_0002,Virus,"[0.511492541035177, 0.5906264985400667, 0.43737095858327046]",1,"[0.8660169198292051, 1.0, 0.7405203790625393]",Influenza
sample_0003,Optical,pathogen_0003,Fungi,"[0.34381169127876693, 0.3692560064866732, 0.11677642153659845]",1,"[0.9310930228325897, 1.0, 0.316247859168712]",Aspergillus
sample_0004,Electrochemical,pathogen_0004,Bacteria,"[0.6662803385340104, 0.46467267273050455, 0.45068582584694916]",1,"[1.0, 0.6974131545783041, 0.6764207193004899]",L. monocytogenes
sample_0005,Electrochemical,pathogen_0005,Bacteria,"[0.7666226216524994, 0.38892208052687616, 0.38740164368328606]",1,"[1.0, 0.5073188157277855, 0.5053355232959593]",Salmonella
sample_0006,Mass-based,pathogen_0006,Virus,"[0.886096445269272, 0.43994109165415896, 0.5087945669605876]",0,"[1.0, 0.4964934618606524, 0.5741977294649593]",Influenza
sample_0007,Electrochemical,pathogen_0007,Fungi,"[0.46306989489917993, 0.46338251834387784, 0.6476539380830388]",1,"[0.7149958761461395, 0.7154785775184545, 1.0]",Penicillium
sample_0008,Electrochemical,pathogen_0008,Virus,"[0.6029311868719299, 0.43708103946704724, 0.44968492082523814]",1,"[1.0, 0.7249269053980595, 0.7458312500938135]",HIV
sample_0009,Optical,pathogen_0009,Fungi,"[0.047542913288571687, 0.5626873026973489, 0.5597482036021924]",1,"[0.08449260017182841, 1.0, 0.9947766742184027]",Aspergillus
sample_0010,Electrochemical,pathogen_0010,Bacteria,"[0.4589981294401214, 0.4260267778916904, 0.5001826579104888]",1,"[0.9176610227903231, 0.8517424008089679, 1.0]",E. coli
sample_0011,Electrochemical,pathogen_0011,Virus,"[0.45647227583578154, 0.549951712079774, 0.786732702254613]",0,"[0.5802126624806958, 0.6990324801596861, 1.0]",HIV
sample_0012,Mass-based,pathogen_0012,Fungi,"[0.6395477514953176, 0.6420516757026877, 0.6585891229673277]",1,"[0.9710876314108899, 0.9748895833716033, 1.0]",Penicillium
